date,trades,avg_return,sum_return,precision_day
2021-04-23,1,0.02320675105485237,0.02320675105485237,1.0
2021-04-26,2,-0.020879629629629637,-0.041759259259259274,0.0
2021-04-27,2,-0.03307719378226737,-0.06615438756453473,0.0
2021-04-29,2,0.007167392176663068,0.014334784353326135,0.5
2021-04-30,2,0.023418582662638632,0.046837165325277264,1.0
2021-05-03,2,0.08009319935925435,0.1601863987185087,0.5
2021-05-04,1,0.10838445807770958,0.10838445807770958,1.0
2021-05-06,1,-0.009960868018498714,-0.009960868018498714,0.0
2021-05-07,2,0.01473327588908041,0.02946655177816082,0.5
2021-05-10,2,-0.008635029354207457,-0.017270058708414915,0.0
2021-05-11,2,0.03076273314613165,0.0615254662922633,1.0
2021-05-12,1,-0.03303814713896458,-0.03303814713896458,0.0
2021-05-13,2,0.04820314412345261,0.09640628824690523,1.0
